code,name,sectionCode
A069500,KODEX 200,10
A069660,KOSEF 200,10
A091160,KODEX 반도체,10
A091170,KODEX 은행,10
A091180,KODEX 자동차,10
A091220,TIGER 은행,10
A091230,TIGER 반도체,10
A097750,TREX 중소형가치,10
A098560,TIGER 방송통신,10
A099140,KODEX China H,10
A100910,KOSEF KRX100,10
A101280,KODEX 일본TOPIX100,10
A102110,TIGER 200,10
A102780,KODEX 삼성그룹,10
A102960,KODEX 기계장비,10
A102970,KODEX 증권,10
A104520,KOSEF 블루칩,10
A104530,KOSEF 고배당,10
A105010,TIGER 라틴35,10
A105190,KINDEX 200,10
A105780,KBSTAR 5대그룹주,10
A108450,KINDEX 삼성그룹섹터가중,10
A108590,TREX 200,10
A114100,KBSTAR 국고채3년,10
A114260,KODEX 국고채3년,10
A114460,KINDEX 중기국고채,10
A114470,KOSEF 국고채3년,10
A114800,KODEX 인버스,10
A114820,TIGER 국채3년,10
A117460,KODEX 에너지화학,10
A117680,KODEX 철강,10
A117690,TIGER 차이나항셍25,10
A117700,KODEX 건설,10
A122090,ARIRANG 코스피50,10
A122260,KOSEF 통안채1년,10
A122630,KODEX 레버리지,10
A123310,TIGER 인버스,10
A123320,TIGER 레버리지,10
A130680,TIGER 원유선물Enhanced(H),10
A130730,KOSEF 단기자금,10
A131890,KINDEX 삼성그룹동일가중,10
A132030,KODEX 골드선물(H),10
A133690,TIGER 미국나스닥100,10
A136340,KBSTAR 중기우량회사채,10
A137610,TIGER 농산물선물Enhanced(H),10
A137930,마이다스 200커버드콜5%OTM,10
A138230,KOSEF 미국달러선물,10
A138520,TIGER 삼성그룹펀더멘털,10
A138530,TIGER LG그룹+펀더멘털,10
A138540,TIGER 현대차그룹+펀더멘털,10
A138910,KODEX 구리선물(H),10
A138920,KODEX 콩선물(H),10
A139220,TIGER 200 건설,10
A139230,TIGER 200 중공업,10
A139240,TIGER 200 철강소재,10
A139250,TIGER 200 에너지화학,10
A139260,TIGER 200 IT,10
A139270,TIGER 200 금융,10
A139280,TIGER 경기방어,10
A139290,TIGER 200 경기소비재,10
A139310,TIGER 금속선물(H),10
A139320,TIGER 금은선물(H),10
A139660,KOSEF 미국달러선물인버스,10
A140570,KBSTAR 수출주,10
