code,name
"U201",(코스닥)종합
202,(코스닥)KOSDAQ 100
203,(코스닥)KOSDAQ MID 300
204,(코스닥)KOSDAQ SMALL
212,(코스닥)기타
215,(코스닥)IT종합
224,(코스닥)제조
226,(코스닥)건설
227,(코스닥)유통
229,(코스닥)운송
231,(코스닥)금융
237,"(코스닥)오락, 문화"
241,(코스닥)통신방송서비스
242,(코스닥)IT S/W & SVC
243,(코스닥)IT H/W
256,"(코스닥)음식료, 담배"
258,"(코스닥)섬유, 의류"
262,"(코스닥)종이, 목재"
263,"(코스닥)출판, 매체복제"
265,(코스닥)화학
266,(코스닥)제약
267,(코스닥)비금속
268,(코스닥)금속
270,"(코스닥)기계, 장비"
272,(코스닥)일반전기전자
274,"(코스닥)의료, 정밀기기"
275,"(코스닥)운송장비, 부품"
277,(코스닥)기타 제조
310,코스닥 150 기술주
311,코스닥 150 소재
312,코스닥 150 산업재
313,코스닥 150 필수소비재
314,코스닥 150 자유소비재
315,코스닥 150 정보기술
316,코스닥 150 생명기술
317,코스닥 150 문화기술
351,(코스닥)통신서비스
352,(코스닥)방송서비스
353,(코스닥)인터넷
354,(코스닥)디지털컨텐츠
355,(코스닥)소프트웨어
356,(코스닥)컴퓨터서비스
357,(코스닥)통신장비
358,(코스닥)정보기기
359,(코스닥)반도체
360,(코스닥)IT부품
381,(코스닥)우량기업
382,(코스닥)벤처기업
383,(코스닥)중견기업
384,(코스닥)기술성장기업
390,코스닥 150
391,코스닥 150 동일가중지수
392,코스닥 150 레버리지지수
393,코스닥 150 선물지수
394,코스닥 150 선물 인버스지수
395,코스닥 150 선물 인버스-2X지수
396,코스닥 150 선물 인버스-3X지수
397,코스닥 150 레버리지 0.5지수
398,코스닥 150 저변동성
399,코스닥 150선물 레버리지지수
