code,name
U001,종합주가지수
002,대형(시가총액)
003,중형(시가총액)
004,소형(시가총액)
005,음식료품
006,"섬유,의복"
007,"종이,목재"
008,화학
009,의약품
010,비금속광물
011,"철강,금속"
012,기계
013,"전기,전자"
014,의료정밀
015,운송장비
016,유통업
017,전기가스업
018,건설업
019,운수창고
020,통신업
021,금융업
022,은행
024,증권
025,보험
026,서비스업
027,제조업
130,KOSPI200 경기방어소비재
131,KOSPI200 중소형주지수
132,KOSPI200 산업재
133,KOSPI200 헬스케어
141,KOSPI200 건설
142,KOSPI200 중공업
143,KOSPI200 철강/소재
144,KOSPI200 에너지/화학
145,KOSPI200 정보기술
146,KOSPI200 금융
147,KOSPI200 생활소비재
148,KOSPI200 경기소비재
149,코스피 200 에너지화학 레버리지지수
150,미국달러선물 레버리지지수
151,미국달러선물지수
152,미국달러선물인버스지수
153,코스피 200 커버드콜 5% OTM
154,코스피 200 프로텍티브풋 OTM 5%
155,KOSPI200 동일가중지수
156,KOSPI100 동일가중지수
157,KOSPI50 동일가중지수
165,코스피 200 정보기술 레버리지지수
166,코스피 200 금융 레버리지지수
167,코스피 200 경기소비재 레버리지지수
170,KTOP 30
177,KOSPI200레버리지지수
178,F-KOSPI200인버스지수
179,KOSPI200선물지수
180,KOSPI200지수
181,KOSPI100지수
182,KOSPI50지수
184,코스피 200 TR
185,코스피 200 NTR
186,KRX-IHS Markit 코스피 200 예측 고배당 30
187,KRX-IHS Markit 코스피 200 예측 배당성장 30
190,코스피 200 고배당지수
191,코스피 200 저변동성지수
192,코스피 고배당 50지수
193,코스피 배당성장 50지수
194,코스피 우선주 지수
195,코스피 200 가치저변동성 지수
196,코스피 200 건설 레버리지지수
197,코스피 200 중공업 레버리지지수
198,코스피 200 헬스케어 레버리지지수
501,국채선물지수
502,국채선물인버스지수
503,국채선물10년물지수
504,국채선물10년물인버스지수
505,국채 3-10년 선물지수
506,국채 3-10년 선물레버리지지수
507,국채 3-10년 선물인버스지수
508,국채 3-10년 선물인버스-2X지수
509,10년 국채선물지수 레버리지지수
510,10년 국채선물 인버스 레버리지지수
511,주식골드지수
512,주식미국채DAE지수
513,주식국채혼합(주식형)지수
514,주식국채혼합(채권형)지수
527,코스피 200 현선물 목표변동성 24% 지수
530,MSCI Korea Index
532,코스피 200 고배당 커버드콜 ATM
541,코스피200리스크컨트롤6%지수
542,코스피200리스크컨트롤8%지수
543,코스피200리스크컨트롤10%지수
544,코스피200리스크컨트롤12%지수
545,KOSPI200 변동성지수
546,코스피 200 DAE지수
548,K200 USD 선물 바이셀지수
549,USD K200 선물 바이셀지수
550,코스피 커버드콜 5% OTM 선물지수
551,코스피 커버드풋 5% OTM 선물지수
552,코스피 200 선물 인버스-2X지수
553,코스피 200 선물 인버스-3X지수
554,미국달러선물 인버스-2X지수
555,미국달러선물 인버스-3X지수
560,엔선물지수
561,엔선물 레버리지 지수
562,엔선물 인버스지수
563,엔선물 인버스-2X지수
564,엔선물 인버스-3X지수
565,유로선물지수
566,유로선물 레버리지 지수
567,유로선물 인버스지수
568,유로선물 인버스-2X지수
569,유로선물 인버스-3X지수
570,코스피 200 선물 레버리지 지수
576,미니 코스피 200 선물지수
577,미니 코스피 200 선물 레버리지지수
578,미니 코스피 200 선물 인버스지수
579,미니 코스피 200 선물 인버스-2X지수
583,코스피 200 밸류 가중 지수
584,코스피 200 퀄리티 가중 지수
585,코스피 200 모멘텀 가중 지수
586,코스피 200 로우볼 가중 지수
587,코스피 200 커버드콜 ATM
588,코스피 200 현선물레버리지 1.5X 지수
589,코스피 200 커버드콜 ATM 레버리지
590,코스피 200 미국채 혼합지수
